fold,feature_set,classifier,n_features,auc,f1,accuracy
1,H2C_train_rule_top37,LogisticRegression,37,0.7986425339366515,0.9503239740820735,0.9053497942386831
1,H2C_train_rule_top37,RandomForest,37,0.9989716166186755,0.9888143176733781,0.9794238683127572
1,TDA_top200_train,LogisticRegression,200,1.0,1.0,1.0
1,TDA_top200_train,RandomForest,200,0.9997943233237351,0.9977426636568849,0.9958847736625515
1,Euclidean_top200_train,LogisticRegression,200,1.0,1.0,1.0
1,Euclidean_top200_train,RandomForest,200,1.0,1.0,1.0
1,Latent_32d_fixed_unsupervised,LogisticRegression,32,0.9395310571781159,0.9606986899563319,0.9259259259259259
1,Latent_32d_fixed_unsupervised,RandomForest,32,0.9352118469765529,0.9492273730684326,0.9053497942386831
2,H2C_train_rule_top37,LogisticRegression,37,0.7688194158782394,0.9525862068965517,0.9094650205761317
2,H2C_train_rule_top37,RandomForest,37,0.9936240230357877,0.9798657718120806,0.9629629629629629
2,TDA_top200_train,LogisticRegression,200,1.0,0.9954545454545455,0.9917695473251029
2,TDA_top200_train,RandomForest,200,0.9995886466474703,0.9910313901345291,0.9835390946502057
2,Euclidean_top200_train,LogisticRegression,200,1.0,1.0,1.0
2,Euclidean_top200_train,RandomForest,200,1.0,0.9977426636568849,0.9958847736625515
2,Latent_32d_fixed_unsupervised,LogisticRegression,32,0.9613327848621966,0.962800875273523,0.9300411522633745
2,Latent_32d_fixed_unsupervised,RandomForest,32,0.9364459070341422,0.9661399548532731,0.9382716049382716
3,H2C_train_rule_top37,LogisticRegression,37,0.699604743083004,0.9457700650759219,0.897119341563786
3,H2C_train_rule_top37,RandomForest,37,0.9968379446640315,0.9799554565701559,0.9629629629629629
3,TDA_top200_train,LogisticRegression,200,0.9984189723320158,0.990909090909091,0.9835390946502057
3,TDA_top200_train,RandomForest,200,0.9988142292490119,0.9864864864864865,0.9753086419753086
3,Euclidean_top200_train,LogisticRegression,200,0.9954545454545455,0.9954545454545455,0.9917695473251029
3,Euclidean_top200_train,RandomForest,200,1.0,0.995475113122172,0.9917695473251029
3,Latent_32d_fixed_unsupervised,LogisticRegression,32,0.9391304347826087,0.9584245076586433,0.9218106995884774
3,Latent_32d_fixed_unsupervised,RandomForest,32,0.9377470355731226,0.9582417582417583,0.9218106995884774
4,H2C_train_rule_top37,LogisticRegression,37,0.7088932806324111,0.948051948051948,0.9012345679012346
4,H2C_train_rule_top37,RandomForest,37,0.9756916996047431,0.9734513274336283,0.9506172839506173
4,TDA_top200_train,LogisticRegression,200,0.9990118577075099,0.9931350114416476,0.9876543209876543
4,TDA_top200_train,RandomForest,200,0.9982213438735178,0.995475113122172,0.9917695473251029
4,Euclidean_top200_train,LogisticRegression,200,0.999802371541502,0.9931350114416476,0.9876543209876543
4,Euclidean_top200_train,RandomForest,200,0.9988142292490119,0.9886104783599089,0.9794238683127572
4,Latent_32d_fixed_unsupervised,LogisticRegression,32,0.9223320158102768,0.9521739130434783,0.9094650205761317
4,Latent_32d_fixed_unsupervised,RandomForest,32,0.9158102766798419,0.9557522123893806,0.9176954732510288
5,H2C_train_rule_top37,LogisticRegression,37,0.7199604743083003,0.9503239740820735,0.9053497942386831
5,H2C_train_rule_top37,RandomForest,37,0.9992094861660079,0.9843400447427293,0.9711934156378601
5,TDA_top200_train,LogisticRegression,200,1.0,1.0,1.0
5,TDA_top200_train,RandomForest,200,0.999802371541502,0.995475113122172,0.9917695473251029
5,Euclidean_top200_train,LogisticRegression,200,1.0,1.0,1.0
5,Euclidean_top200_train,RandomForest,200,1.0,1.0,1.0
5,Latent_32d_fixed_unsupervised,LogisticRegression,32,0.9361660079051384,0.9606986899563319,0.9259259259259259
5,Latent_32d_fixed_unsupervised,RandomForest,32,0.9391304347826087,0.9647577092511013,0.934156378600823
