gene_set,n_features,classifier,auc_mean,auc_std,f1_mean,f1_std,acc_mean,acc_std
Combined_top100,200,RandomForest,0.9999802371541502,3.952569169958231e-05,0.998192069620641,0.0016870850887228,0.9967078189300412,0.0030795534047522
Euclidean_top100,100,LogisticRegression,0.9999604743083004,7.905138339920903e-05,0.9981734875491004,0.0026679287736858,0.9967078189300412,0.0047991373620126
Euclidean_top20,20,LogisticRegression,0.9997628458498024,0.0003832157990051,0.996353173733468,0.0039948451521744,0.9934156378600824,0.0071751422938941
Euclidean_top200,200,LogisticRegression,1.0,0.0,0.9981734875491004,0.0026679287736858,0.9967078189300412,0.0047991373620126
Euclidean_top50,50,LogisticRegression,1.0,0.0,0.9990867579908675,0.0018264840182648,0.9983539094650208,0.0032921810699588
Latent_32d,32,LogisticRegression,0.9395355284102088,0.0125254634999553,0.9576237661605496,0.0050895493830496,0.9201646090534978,0.0095982747240251
TDA_only_ns,37,GradientBoosting,0.99289109867115,0.0105570432885792,0.992800845263164,0.0038535762548117,0.9868312757201648,0.0070801031004466
TDA_top100,100,LogisticRegression,0.9987747035573122,0.0014597774950687,0.9950133713158924,0.0054355423228056,0.9909465020576133,0.0098765432098765
TDA_top20,20,LogisticRegression,0.9873939870870816,0.005061545683811,0.9814879787750412,0.0047817195130522,0.9662551440329216,0.0087877187259517
TDA_top200,200,LogisticRegression,0.9993280632411068,0.0008440378064846,0.9963635327979692,0.0036891433923092,0.9934156378600824,0.0066864513618403
TDA_top50,50,LogisticRegression,0.9975066621358184,0.0021603576844475,0.9922901746834092,0.0042102913265659,0.9860082304526748,0.0076326078152228
